user_id,signup_date,country,age,gender,device_type,game_title,total_play_sessions,avg_session_duration_min,total_hours_played,in_game_purchases_count,total_revenue_usd,last_login,subscription_tier,preferred_game_mode,rank_tier,achievement_score,days_active
7280e6c4-6f7c-45dd-a8fc-c58389ea8e07,2024-12-15,Austria,22,Other,Mobile,MysticWar,21,5.78,38.41,6,27.5,2025-05-19,Silver,Co-op,Bronze,8721,155
23c48d4f-f5d0-4ff4-ba0f-2007441b9b57,2024-03-07,Gabon,22,Other,PC,QuestRaid,22,32.53,129.02,10,2.5,2025-05-12,Gold,Solo,Bronze,3572,431
cf8d530c-c137-4346-a78b-e76e36d45e2a,2023-10-19,Ireland,36,Female,PC,QuestRaid,12,21.55,62.5,5,25.56,2025-05-03,Silver,Solo,Platinum,1060,562
47fcbe87-a1c1-40c3-b450-1b5692f61538,2023-09-28,Belarus,23,Other,PC,QuestRaid,19,28.36,79.4,4,132.25,2025-05-08,Silver,Multiplayer,Diamond,3591,588
0b620a32-9e77-4b4a-9931-f0b654bef095,2024-08-09,Slovenia,26,Other,PC,QuestRaid,18,17.63,86.7,6,20.79,2025-04-24,Free,Multiplayer,Diamond,2666,258
dffbc115-7354-4512-87b2-1e685d84a5d2,2024-04-07,Cape Verde,41,Other,Mobile,BattleZone,25,21.49,125.28,7,57.89,2025-05-21,Silver,Solo,Gold,5605,409
177e2ac4-d8db-4304-a3a8-85030639319c,2025-03-08,Niger,19,Male,Mobile,SpeedRun,25,18.05,88.02,4,5.23,2025-05-09,Platinum,Co-op,Bronze,8469,62
602334ff-fba1-4289-ab6d-bb2fb5705777,2024-01-28,Australia,24,Male,Mobile,BattleZone,13,22.37,33.4,4,100.0,2025-04-26,Free,Solo,Silver,1392,454
72876878-6323-4552-a8e6-554f7bf1bc85,2024-01-09,Cameroon,29,Male,Mobile,BattleZone,15,27.89,83.58,3,66.61,2025-04-24,Silver,Co-op,Platinum,89,471
367648d2-a353-4bd0-b6de-17be14318738,2024-11-26,Morocco,25,Male,Console,QuestRaid,19,31.83,82.28,3,44.28,2025-05-08,Gold,Multiplayer,Silver,6958,163
3d97eabe-4581-4c5b-b467-214599b4e577,2023-12-05,Heard Island and McDonald Islands,39,Male,PC,SpeedRun,26,34.08,16.25,5,19.68,2025-05-17,Silver,Multiplayer,Diamond,2483,529
0a46a61d-955e-4f40-9943-2f5512702a9c,2024-10-27,Australia,35,Other,PC,SpeedRun,22,32.69,122.2,7,25.01,2025-04-22,Platinum,Multiplayer,Diamond,6479,177
3fa4296b-3ff2-4e53-a388-8e132f894686,2024-09-10,Samoa,39,Other,Console,SpeedRun,30,40.23,88.88,5,28.75,2025-04-23,Gold,Co-op,Bronze,8439,225
9faab244-08b3-4f8e-9ef3-3295cea56db2,2024-10-12,United States Minor Outlying Islands,21,Male,Console,BattleZone,22,16.48,178.0,3,31.7,2025-05-03,Platinum,Solo,Platinum,5341,203
95480647-c44e-4dac-983d-47c4c2d2d915,2023-09-21,Reunion,16,Male,PC,SpeedRun,19,32.09,62.79,5,9.25,2025-05-01,Gold,Co-op,Platinum,5431,588
0b9650a0-b453-4ca0-9fb0-0b0ff2e70f6f,2024-09-04,Northern Mariana Islands,20,Female,PC,QuestRaid,17,10.18,-25.25,7,86.16,2025-05-04,Gold,Multiplayer,Bronze,820,242
7ba3b709-be03-4ebd-962a-1674530def01,2024-12-12,Guadeloupe,31,Other,Console,SpeedRun,23,23.52,99.37,9,103.33,2025-05-12,Free,Solo,Bronze,380,151
